subj_role,subj_department,subj_clearance,subj_years_exp,subj_cert_active,subj_age,obj_type,obj_sensitivity,obj_department,obj_contains_pii,env_hour,env_is_emergency,env_location,env_access_freq_last_hour,action,decision
patient,general,1,5,False,51,medical_record,2,general,True,15,False,hospital_network,3,write,DENY
pharmacist,cardiology,5,11,True,37,medical_image,4,research,True,19,False,remote,18,share,DENY
patient,admin_office,1,40,False,26,medical_record,2,admin_office,True,13,False,office_network,2,read,ALLOW
patient,general,4,8,True,41,medical_record,3,general,False,13,False,remote,9,read,ALLOW
researcher,research,2,8,True,26,research_data,2,research,False,17,False,office_network,12,read,ALLOW
pharmacist,admin_office,2,28,True,48,prescription,4,admin_office,False,11,False,hospital_network,9,share,DENY
nurse,general,5,28,False,40,billing,3,admin_office,True,5,False,office_network,8,delete,DENY
researcher,research,5,6,True,40,research_data,3,research,False,13,True,hospital_network,0,read,ALLOW
patient,oncology,4,5,False,36,medical_record,1,oncology,False,10,True,remote,15,read,DENY
doctor,cardiology,3,13,True,57,medical_image,5,cardiology,True,14,False,hospital_network,20,write,ALLOW
doctor,research,5,34,True,62,medical_image,4,research,False,17,True,remote,13,read,ALLOW
admin,admin_office,1,33,True,46,billing,1,research,False,8,False,remote,50,read,DENY
pharmacist,cardiology,5,21,True,24,prescription,4,cardiology,False,18,False,office_network,5,write,DENY
researcher,research,3,12,True,34,research_data,4,research,False,12,True,office_network,11,delete,DENY
pharmacist,general,3,7,False,49,prescription,3,general,False,15,False,remote,11,share,DENY
doctor,research,1,27,True,56,prescription,3,cardiology,True,21,False,remote,38,share,DENY
researcher,research,4,2,False,61,research_data,2,research,False,10,False,office_network,0,read,ALLOW
researcher,research,2,4,True,63,prescription,3,research,False,1,False,office_network,28,delete,DENY
doctor,admin_office,2,33,False,47,medical_record,4,admin_office,True,14,False,remote,17,read,DENY
pharmacist,research,2,39,False,53,lab_result,2,oncology,False,14,False,office_network,28,read,DENY
patient,general,1,35,False,41,lab_result,4,oncology,False,16,False,hospital_network,50,write,DENY
researcher,research,3,35,False,51,research_data,2,research,False,15,False,office_network,16,read,ALLOW
admin,admin_office,2,20,True,50,billing,3,admin_office,True,16,False,hospital_network,4,read,ALLOW
pharmacist,oncology,3,33,False,27,prescription,2,oncology,True,10,False,office_network,18,share,DENY
pharmacist,admin_office,5,21,True,23,prescription,3,admin_office,True,15,False,office_network,20,read,ALLOW
patient,research,2,25,False,51,medical_record,5,cardiology,True,13,False,hospital_network,21,write,DENY
pharmacist,general,3,25,True,45,prescription,4,general,True,9,False,hospital_network,1,read,ALLOW
admin,admin_office,2,10,False,58,billing,4,admin_office,False,8,False,remote,2,share,DENY
nurse,oncology,5,22,True,25,prescription,3,admin_office,False,20,False,remote,34,read,DENY
researcher,research,3,23,False,45,medical_record,4,cardiology,True,6,False,remote,4,share,DENY
admin,admin_office,5,39,True,30,medical_record,4,general,False,10,False,remote,48,write,DENY
admin,admin_office,5,2,True,24,billing,4,admin_office,False,13,False,office_network,19,read,ALLOW
admin,admin_office,5,21,False,58,billing,3,admin_office,True,18,False,office_network,0,read,ALLOW
pharmacist,admin_office,5,14,True,59,prescription,1,admin_office,True,17,False,hospital_network,3,read,ALLOW
researcher,research,4,13,False,54,research_data,3,research,False,16,False,office_network,12,read,ALLOW
admin,admin_office,5,22,False,61,billing,1,admin_office,True,12,False,remote,6,write,DENY
researcher,research,5,17,False,29,research_data,4,research,False,8,False,hospital_network,9,share,DENY
researcher,research,4,13,True,56,research_data,4,research,False,18,True,office_network,7,read,ALLOW
pharmacist,research,1,8,True,57,prescription,3,research,True,9,False,office_network,20,read,ALLOW
pharmacist,cardiology,2,26,True,24,billing,2,oncology,False,9,False,hospital_network,19,read,DENY
patient,general,4,34,False,30,research_data,3,general,True,3,False,office_network,29,delete,DENY
doctor,general,3,36,True,33,research_data,4,research,False,16,False,remote,42,read,DENY
nurse,research,3,15,True,38,lab_result,1,research,False,12,False,office_network,20,read,ALLOW
pharmacist,cardiology,4,19,True,47,prescription,5,cardiology,True,15,False,hospital_network,4,read,ALLOW
patient,research,5,30,True,37,medical_image,5,cardiology,True,16,False,hospital_network,36,read,DENY
admin,admin_office,2,36,True,32,billing,4,admin_office,True,15,False,hospital_network,1,read,ALLOW
researcher,research,1,35,False,65,prescription,4,cardiology,True,0,False,office_network,4,read,DENY
pharmacist,cardiology,5,3,True,52,prescription,4,cardiology,True,13,False,office_network,12,read,ALLOW
researcher,research,1,34,True,63,prescription,2,oncology,False,12,False,office_network,14,read,DENY
patient,research,5,27,False,36,lab_result,3,general,True,6,False,office_network,48,read,DENY
pharmacist,research,5,1,True,35,prescription,3,research,True,11,False,remote,17,read,ALLOW
doctor,oncology,5,18,True,58,prescription,4,admin_office,False,10,False,hospital_network,42,write,DENY
patient,cardiology,5,37,True,62,medical_record,3,cardiology,True,14,False,office_network,13,read,ALLOW
admin,admin_office,2,14,False,31,billing,1,admin_office,True,12,False,remote,6,read,DENY
researcher,research,1,34,True,25,research_data,3,research,False,18,False,office_network,17,read,ALLOW
patient,general,1,13,True,29,medical_record,2,general,True,15,False,remote,17,write,DENY
patient,admin_office,4,29,True,52,medical_record,3,admin_office,True,16,False,hospital_network,18,read,ALLOW
nurse,oncology,3,14,False,58,lab_result,3,oncology,True,18,False,remote,15,read,DENY
patient,oncology,2,34,False,33,research_data,4,cardiology,True,2,False,office_network,3,read,DENY
pharmacist,oncology,1,9,True,35,prescription,3,oncology,True,16,False,hospital_network,13,read,ALLOW
patient,admin_office,3,1,False,33,medical_record,3,admin_office,True,6,False,remote,22,delete,DENY
doctor,general,4,29,True,36,prescription,4,cardiology,True,20,False,hospital_network,25,share,DENY
researcher,research,1,10,True,53,research_data,3,research,False,17,False,hospital_network,15,read,ALLOW
pharmacist,general,5,36,True,33,prescription,2,oncology,True,22,False,hospital_network,19,write,DENY
admin,admin_office,5,21,False,30,medical_image,5,cardiology,True,11,True,remote,14,read,DENY
admin,admin_office,4,20,True,62,billing,3,admin_office,True,14,False,office_network,2,write,ALLOW
nurse,cardiology,1,17,True,46,lab_result,5,cardiology,False,15,True,hospital_network,11,write,DENY
doctor,oncology,4,28,False,28,medical_image,3,oncology,True,9,True,remote,17,share,DENY
admin,admin_office,2,24,True,30,prescription,3,general,True,2,False,remote,26,delete,DENY
doctor,general,3,15,False,60,medical_image,2,general,True,14,False,remote,10,read,DENY
pharmacist,admin_office,2,19,False,60,prescription,3,admin_office,True,15,False,office_network,18,write,DENY
patient,research,3,7,True,59,medical_record,3,research,True,9,False,remote,13,write,DENY
patient,oncology,3,9,False,46,medical_record,3,oncology,True,16,False,office_network,1,write,DENY
admin,admin_office,1,6,True,64,billing,4,admin_office,True,14,False,office_network,10,share,DENY
doctor,cardiology,3,14,True,50,lab_result,3,cardiology,False,12,False,remote,13,share,DENY
pharmacist,oncology,3,19,False,51,prescription,4,oncology,True,9,False,remote,9,read,DENY
doctor,general,1,10,True,55,lab_result,4,oncology,True,13,False,hospital_network,25,write,DENY
pharmacist,research,4,1,True,50,prescription,3,research,True,9,False,office_network,18,read,ALLOW
nurse,general,3,12,False,29,prescription,4,research,True,20,False,remote,39,share,DENY
patient,general,4,39,True,65,medical_image,4,admin_office,True,21,True,hospital_network,15,delete,DENY
patient,oncology,5,24,False,60,medical_record,3,oncology,True,16,False,office_network,5,read,ALLOW
patient,research,5,3,False,22,medical_record,2,research,False,15,False,office_network,5,read,ALLOW
nurse,general,1,17,True,56,lab_result,2,general,True,12,False,office_network,17,write,DENY
doctor,research,5,13,False,28,medical_record,5,research,True,9,False,hospital_network,7,read,ALLOW
pharmacist,general,5,40,False,32,research_data,2,oncology,False,1,False,office_network,17,write,DENY
pharmacist,general,3,36,False,54,prescription,3,general,False,10,False,office_network,7,read,ALLOW
nurse,research,4,9,False,62,medical_record,2,research,True,13,False,remote,14,share,DENY
doctor,cardiology,4,40,False,26,lab_result,3,cardiology,False,16,False,remote,18,read,DENY
patient,cardiology,1,6,False,23,medical_record,3,research,True,13,False,office_network,8,delete,DENY
patient,cardiology,3,16,True,45,medical_record,3,cardiology,True,9,False,remote,3,read,ALLOW
nurse,admin_office,2,33,False,22,lab_result,5,admin_office,False,14,True,hospital_network,2,write,DENY
patient,general,3,8,False,30,medical_record,3,general,True,11,False,remote,20,write,DENY
admin,admin_office,2,5,True,30,medical_record,5,research,True,13,False,hospital_network,15,delete,DENY
nurse,admin_office,5,38,False,23,medical_image,4,oncology,True,16,False,remote,18,read,DENY
nurse,research,4,7,True,53,medical_image,5,cardiology,True,0,False,remote,8,share,DENY
admin,admin_office,3,34,True,52,medical_record,3,admin_office,True,8,False,hospital_network,50,share,DENY
pharmacist,admin_office,4,27,False,27,medical_image,5,admin_office,True,8,True,hospital_network,32,write,DENY
nurse,admin_office,3,25,True,41,medical_image,4,oncology,True,2,False,hospital_network,29,read,DENY
pharmacist,oncology,1,0,True,22,prescription,3,oncology,True,12,False,office_network,3,write,DENY
researcher,research,5,4,False,58,research_data,3,research,False,13,False,office_network,5,read,ALLOW
admin,admin_office,2,32,True,24,billing,3,admin_office,True,18,False,hospital_network,13,read,ALLOW
pharmacist,general,3,4,False,29,prescription,4,general,True,12,True,remote,10,read,DENY
patient,oncology,3,36,False,61,medical_record,1,oncology,True,8,False,hospital_network,13,read,ALLOW
pharmacist,cardiology,3,0,False,41,medical_record,3,admin_office,False,13,False,hospital_network,9,delete,DENY
nurse,admin_office,4,23,False,27,lab_result,2,admin_office,True,18,False,hospital_network,4,read,ALLOW
patient,research,3,20,False,39,medical_record,1,research,True,14,False,remote,3,read,DENY
nurse,research,3,29,False,29,medical_record,3,general,False,22,False,hospital_network,20,write,DENY
nurse,general,4,32,True,65,lab_result,3,general,True,9,False,office_network,14,read,ALLOW
doctor,cardiology,1,14,True,34,billing,2,cardiology,True,8,False,hospital_network,1,read,DENY
pharmacist,research,2,5,False,29,prescription,4,research,True,18,False,hospital_network,13,read,ALLOW
nurse,general,3,28,True,24,lab_result,4,general,True,8,False,office_network,2,read,ALLOW
nurse,admin_office,2,40,True,46,lab_result,4,admin_office,True,14,False,office_network,8,read,ALLOW
nurse,cardiology,3,3,False,55,medical_record,4,cardiology,False,8,False,remote,7,read,DENY
researcher,research,2,11,True,59,prescription,4,general,False,0,False,remote,36,write,DENY
nurse,research,5,19,True,53,medical_record,3,cardiology,True,7,True,remote,0,delete,DENY
nurse,oncology,3,11,False,25,medical_record,3,admin_office,False,4,False,office_network,23,read,DENY
pharmacist,research,5,6,False,41,prescription,2,research,False,10,False,office_network,17,write,DENY
patient,oncology,5,11,False,41,medical_image,5,general,True,23,True,office_network,36,share,DENY
admin,admin_office,2,38,False,61,lab_result,4,admin_office,True,15,True,office_network,4,write,DENY
patient,oncology,1,40,False,50,medical_record,2,oncology,True,8,False,office_network,12,read,ALLOW
nurse,research,4,24,False,56,medical_record,1,research,False,8,False,hospital_network,10,read,ALLOW
patient,oncology,4,10,True,57,medical_record,3,oncology,False,17,False,office_network,13,read,ALLOW
nurse,oncology,4,35,False,64,lab_result,3,oncology,True,8,False,remote,11,read,DENY
pharmacist,admin_office,4,12,True,23,prescription,2,admin_office,False,15,False,remote,8,read,ALLOW
nurse,general,4,23,True,50,medical_record,4,research,True,7,False,office_network,3,write,DENY
pharmacist,cardiology,1,22,False,59,lab_result,4,cardiology,False,16,False,office_network,43,share,DENY
nurse,research,3,5,False,24,research_data,4,admin_office,False,21,False,hospital_network,7,share,DENY
nurse,oncology,2,8,True,49,medical_record,5,oncology,True,9,False,office_network,12,read,ALLOW
patient,admin_office,4,0,False,29,billing,1,oncology,True,18,False,hospital_network,6,read,DENY
admin,admin_office,4,16,False,63,billing,3,admin_office,True,5,False,hospital_network,39,share,DENY
patient,oncology,1,30,False,45,medical_record,3,oncology,True,12,True,hospital_network,14,write,DENY
pharmacist,research,5,5,True,50,prescription,3,research,False,12,False,hospital_network,16,read,ALLOW
admin,admin_office,1,11,True,34,medical_record,3,cardiology,True,11,False,remote,23,share,DENY
pharmacist,cardiology,1,15,False,53,research_data,3,oncology,False,15,False,remote,22,write,DENY
patient,cardiology,3,1,False,25,lab_result,4,oncology,False,20,False,hospital_network,17,share,DENY
pharmacist,cardiology,4,8,True,60,medical_record,3,general,True,9,False,office_network,41,delete,DENY
researcher,research,4,16,True,51,research_data,4,research,False,13,True,office_network,17,write,DENY
patient,cardiology,4,4,False,39,medical_image,4,general,True,22,False,office_network,19,write,DENY
nurse,cardiology,5,25,False,65,lab_result,4,cardiology,True,8,False,remote,18,write,DENY
nurse,general,2,34,False,64,prescription,4,general,False,21,False,hospital_network,18,read,DENY
pharmacist,general,5,11,False,63,prescription,3,general,True,12,False,remote,18,read,DENY
researcher,research,5,37,True,52,lab_result,4,cardiology,False,12,False,remote,3,write,DENY
nurse,general,4,36,False,31,lab_result,4,general,False,18,False,hospital_network,1,read,ALLOW
nurse,admin_office,2,31,True,30,lab_result,3,admin_office,True,13,True,office_network,0,delete,DENY
admin,admin_office,1,0,True,36,medical_image,4,general,True,12,False,remote,10,read,DENY
patient,general,4,33,False,49,medical_image,3,general,False,15,False,hospital_network,10,share,DENY
nurse,oncology,2,1,True,29,lab_result,4,oncology,True,18,False,office_network,3,write,DENY
pharmacist,cardiology,4,28,False,29,prescription,3,cardiology,False,14,False,hospital_network,3,write,DENY
admin,admin_office,4,6,True,40,billing,3,admin_office,True,14,False,hospital_network,9,read,ALLOW
nurse,research,3,15,True,22,medical_image,3,cardiology,False,21,False,hospital_network,49,read,DENY
doctor,general,2,29,False,38,billing,1,cardiology,False,1,False,remote,43,delete,DENY
doctor,cardiology,1,0,True,64,prescription,3,cardiology,True,13,False,office_network,10,read,ALLOW
researcher,research,4,30,False,63,research_data,2,research,False,17,True,office_network,14,read,ALLOW
patient,admin_office,1,8,False,53,medical_record,3,admin_office,True,17,True,office_network,18,read,ALLOW
patient,admin_office,5,39,True,49,medical_image,5,oncology,True,21,False,remote,9,read,DENY
nurse,admin_office,4,31,True,26,lab_result,2,admin_office,True,14,False,office_network,12,write,DENY
researcher,research,4,5,False,50,research_data,2,research,False,16,False,hospital_network,0,write,DENY
admin,admin_office,5,35,True,63,medical_image,4,general,True,1,False,remote,21,share,DENY
patient,research,1,6,True,22,prescription,3,general,True,11,False,hospital_network,10,share,DENY
pharmacist,research,1,16,True,34,prescription,4,research,True,18,False,remote,18,read,ALLOW
researcher,research,5,8,False,22,research_data,4,cardiology,True,13,False,remote,32,write,DENY
nurse,oncology,1,24,False,54,billing,2,admin_office,False,7,False,remote,18,share,DENY
nurse,research,5,32,False,57,prescription,4,admin_office,True,6,False,office_network,18,delete,DENY
nurse,oncology,5,34,False,29,prescription,4,research,True,21,False,office_network,47,delete,DENY
researcher,research,5,6,True,46,lab_result,2,cardiology,True,5,False,office_network,16,write,DENY
pharmacist,general,2,34,True,44,billing,1,admin_office,False,23,False,hospital_network,47,share,DENY
pharmacist,general,1,24,False,48,prescription,4,general,True,18,False,remote,20,read,DENY
pharmacist,admin_office,2,12,False,50,lab_result,4,cardiology,True,5,False,hospital_network,24,read,DENY
admin,admin_office,2,10,False,22,billing,3,admin_office,True,18,True,office_network,9,read,ALLOW
patient,cardiology,3,33,True,33,research_data,2,admin_office,True,17,False,hospital_network,22,write,DENY
pharmacist,general,3,23,False,35,research_data,4,research,False,20,True,office_network,22,share,DENY
pharmacist,admin_office,5,15,True,65,prescription,3,admin_office,True,16,False,remote,14,read,ALLOW
pharmacist,oncology,3,32,True,28,prescription,4,oncology,True,14,False,hospital_network,3,read,ALLOW
pharmacist,research,1,9,True,51,medical_image,4,cardiology,True,1,False,remote,35,read,DENY
nurse,general,4,24,False,62,billing,2,general,True,21,True,hospital_network,41,read,DENY
admin,admin_office,1,22,True,40,medical_image,4,admin_office,True,14,False,office_network,1,share,DENY
nurse,oncology,4,34,False,62,medical_record,3,oncology,False,8,False,hospital_network,0,read,ALLOW
admin,admin_office,3,13,False,35,billing,3,admin_office,True,9,False,remote,5,write,DENY
doctor,admin_office,4,35,True,40,medical_image,3,general,True,23,False,remote,22,write,DENY
nurse,cardiology,3,39,True,34,prescription,3,research,True,21,False,office_network,9,delete,DENY
researcher,research,1,20,True,36,medical_image,5,research,True,11,True,office_network,21,share,DENY
patient,general,4,35,True,33,medical_record,3,general,False,9,False,office_network,0,write,DENY
admin,admin_office,4,37,True,24,research_data,3,admin_office,False,17,False,hospital_network,23,share,DENY
admin,admin_office,2,29,True,47,billing,4,admin_office,True,17,True,hospital_network,18,write,ALLOW
pharmacist,research,3,2,True,53,lab_result,2,general,True,1,False,office_network,50,delete,DENY
researcher,research,1,20,True,55,research_data,4,research,False,18,False,remote,2,read,ALLOW
nurse,admin_office,4,22,False,53,medical_record,3,admin_office,True,18,False,hospital_network,8,read,ALLOW
patient,admin_office,1,14,False,43,medical_record,1,admin_office,True,11,False,remote,1,read,DENY
nurse,admin_office,1,36,True,25,lab_result,3,oncology,True,12,False,office_network,40,read,DENY
pharmacist,general,1,13,False,60,billing,2,oncology,True,13,False,office_network,49,write,DENY
admin,admin_office,2,21,False,60,research_data,2,oncology,True,4,True,hospital_network,33,share,DENY
admin,admin_office,2,30,True,56,research_data,2,cardiology,True,4,False,office_network,0,share,DENY
patient,cardiology,5,27,True,52,billing,2,admin_office,False,22,False,remote,8,delete,DENY
nurse,cardiology,3,38,False,38,medical_record,2,cardiology,True,13,True,office_network,13,read,ALLOW
pharmacist,admin_office,3,16,False,58,prescription,4,admin_office,False,10,False,office_network,11,read,ALLOW
patient,admin_office,3,25,True,64,medical_record,1,admin_office,True,17,False,remote,1,read,ALLOW
doctor,cardiology,2,30,False,27,medical_record,4,oncology,True,19,True,remote,25,delete,DENY
admin,admin_office,2,40,False,50,medical_record,3,admin_office,True,1,False,office_network,33,write,DENY
pharmacist,cardiology,3,15,True,32,medical_record,4,research,True,12,False,hospital_network,33,read,DENY
doctor,cardiology,5,18,False,44,prescription,2,admin_office,False,14,False,office_network,0,delete,DENY
admin,admin_office,5,4,False,43,billing,5,admin_office,False,15,False,remote,7,write,DENY
researcher,research,5,1,False,29,prescription,2,research,True,7,False,hospital_network,20,share,DENY
admin,admin_office,1,16,True,40,medical_record,4,general,True,5,False,remote,13,delete,DENY
pharmacist,oncology,4,12,True,37,prescription,2,oncology,True,9,False,hospital_network,15,write,DENY
admin,admin_office,4,23,False,53,research_data,3,research,True,16,False,hospital_network,48,write,DENY
researcher,research,5,2,False,47,research_data,3,research,False,11,False,hospital_network,12,read,ALLOW
admin,admin_office,2,35,False,37,billing,3,admin_office,True,13,False,remote,11,delete,DENY
nurse,admin_office,2,36,True,28,lab_result,4,admin_office,True,15,True,office_network,0,read,ALLOW
pharmacist,admin_office,5,20,False,41,prescription,4,admin_office,True,15,False,hospital_network,20,read,ALLOW
patient,general,3,35,False,44,medical_record,4,cardiology,True,21,False,hospital_network,36,write,DENY
patient,general,3,32,False,50,medical_record,4,admin_office,True,20,False,hospital_network,40,delete,DENY
admin,admin_office,4,4,True,32,billing,2,admin_office,True,12,False,office_network,14,write,ALLOW
pharmacist,admin_office,5,28,False,32,lab_result,2,oncology,False,21,False,office_network,44,read,DENY
researcher,research,1,4,False,57,research_data,3,research,False,18,False,hospital_network,12,read,ALLOW
patient,research,2,8,True,23,medical_record,2,research,False,16,False,office_network,14,read,ALLOW
admin,admin_office,5,38,False,62,medical_image,5,admin_office,True,20,False,remote,22,share,DENY
doctor,research,3,23,False,38,lab_result,3,cardiology,True,4,False,remote,34,read,DENY
researcher,research,3,0,False,40,research_data,2,cardiology,True,6,False,office_network,27,share,DENY
pharmacist,research,4,14,False,27,prescription,3,research,True,14,False,office_network,6,delete,DENY
patient,cardiology,4,39,False,39,medical_record,1,cardiology,True,9,False,hospital_network,9,read,ALLOW
